ID,Товар,Цена,Остаток
184,"Насос топливный электрический ВАЗ 2180 Vesta  (120л/с, 400кПа) HF 830 306",466,1
185,Регулятор холостого хода ВАЗ 2110 HF 750 381,330,60
186,Упоры/Амортизатор задней двери газовый ВАЗ 2111 HF 522 203 (600\350\250\430N),324,1
187,"Фильтр масляный ВАЗ 2105, 2108",136,73
188,"Щетка стеклооч. гибридная 410мм (16"")  1шт ""HOFER""",238,30
189,"Щетка стеклооч. гибридная 600мм (24"")  1шт ""HOFER""",256,30
190,"Ремкомплект ШРУСа наружнего  ""HOFER"" ВАЗ 2108 - 2110 HF 401 902",214,50
191,"Ремкомплект ШРУСа наружнего ""HOFER"" ВАЗ 2121 - 2123 HF 401 903",243,50
192,"Ремкомплект ШРУСа внутреннего ""HOFER"" ВАЗ 2108 - 2110",228,50
193,Термостат ВАЗ 1118 в сборе  (85°С) HF 445 910,631,20
194,Самоклеящиеся термоэтикетки (ТОП) 58х40/40-700шт,102,1
195,Самоклеящиеся термоэтикетки (ЭКО) 43х25/40-900шт,78,40
196,"Скотч ширина 48мм, длина 100м",68,69
197,Пакет из воздушно - пузырчатой пленки 400*500 мм,12,244
198,Пакет из воздушно - пузырчатой пленки 300*350 мм,7,1394
199,"Пленка ПВД рукав прозрачный 0,05х(250х2) цена за кг",127,78
200,"Пленка ПВД рукав прозрачный 0,05х(450х2)",127,90
201,"Пленка ПВД рукав прозрачный 0,05х(400х2) цена за кг",127,35
202,"Пленка ПВД рукав прозрачный 0,05х(300х2) цена за кг",127,210
203,"Пленка ПВД рукав прозрачный 0,05х(200х2) цена за кг",127,81
204,"Пленка ПВД рукав прозрачный 0,1х(150х2) цена за кг",127,5
205,"Пленка ПВД рукав черный 0,1х(100х2) цена за кг",127,109
206,"Воздушно-пузырчатая пленка двухслойная 1,2 м * 100 п.м (120 кв.м.)",2231,4
207,коробка 600х400х400,44,2672
208,коробка 340х340х300,37,372
209,коробка 320х320х240,32,315
210,коробка 280х280х190,25,148
211,коробка 340х340х180,32,310
212,коробка 220х170х170,18,165
213,коробка 400х200х210,26,2027
214,ЗИП ЛОК пакет 80х120мм,1,939
215,Стренч пленка для заполечивания поддонов,340,93
216,"Штабелер OXLIFT AX1235 (состояние отличное, почти не пользовались)",155200,1
217,"Фронтальнй палетный стеллаж ""МЕТАЛЛ РЭК"", 10шт 2 ярусных",242500,
218,"Камера для видеонаблюдения, WI-FI",1455,9
219,"Принтер этикеток TSC TE200 (203dpi, USB) термотрансферный для наклеек/этикеток",7760,1
220,Принтер Pantum M6500 МФУ лазернsq черно-белое,9700,1
221,Столы,970,4
222,Стеллаж,2425,1
